32.223.6.94:80  # status 404 http://httpbin.org/ip
31.145.174.181:8080  # ProxyError HTTPConnectionPool(host='31.145.174.181', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
31.145.174.165:8080  # ProxyError HTTPConnectionPool(host='31.145.174.165', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
47.56.110.204:8989  # ProxyError HTTPConnectionPool(host='47.56.110.204', port=8989): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB1354BE50>, 'Connection to 47.56.110.204 timed out. (connect timeout=8)')))
176.126.103.194:44214  # ProxyError HTTPConnectionPool(host='176.126.103.194', port=44214): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E2550>, 'Connection to 176.126.103.194 timed out. (connect timeout=8)')))
157.230.220.25:4857  # ProxyError HTTPConnectionPool(host='157.230.220.25', port=4857): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E1B50>, 'Connection to 157.230.220.25 timed out. (connect timeout=8)')))
62.60.178.137:8080  # ProxyError HTTPConnectionPool(host='62.60.178.137', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E1C50>, 'Connection to 62.60.178.137 timed out. (connect timeout=8)')))
45.207.209.226:8080  # ProxyError HTTPConnectionPool(host='45.207.209.226', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001CB135E0450>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')))
219.93.101.60:80  # ProxyError HTTPConnectionPool(host='219.93.101.60', port=80): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB13838250>, 'Connection to 219.93.101.60 timed out. (connect timeout=8)')))
159.203.61.169:3128  # ProxyError HTTPConnectionPool(host='159.203.61.169', port=3128): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB13838350>, 'Connection to 159.203.61.169 timed out. (connect timeout=8)')))
47.252.29.28:11222  # ProxyError HTTPConnectionPool(host='47.252.29.28', port=11222): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E2F50>, 'Connection to 47.252.29.28 timed out. (connect timeout=8)')))
219.93.101.62:80  # ProxyError HTTPConnectionPool(host='219.93.101.62', port=80): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB13838E50>, 'Connection to 219.93.101.62 timed out. (connect timeout=8)')))
102.222.161.143:3128  # ProxyError HTTPConnectionPool(host='102.222.161.143', port=3128): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB13839250>, 'Connection to 102.222.161.143 timed out. (connect timeout=8)')))
122.210.119.110:32323  # ProxyError HTTPConnectionPool(host='122.210.119.110', port=32323): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB13838850>, 'Connection to 122.210.119.110 timed out. (connect timeout=8)')))
103.214.109.67:80  # ReadTimeout HTTPConnectionPool(host='103.214.109.67', port=80): Read timed out. (read timeout=8)
211.230.49.122:3128  # ProxyError HTTPConnectionPool(host='211.230.49.122', port=3128): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB1354BC50>, 'Connection to 211.230.49.122 timed out. (connect timeout=8)')))
57.129.81.201:999  # ProxyError HTTPConnectionPool(host='57.129.81.201', port=999): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E1D50>, 'Connection to 57.129.81.201 timed out. (connect timeout=8)')))
171.228.47.183:30569  # ProxyError HTTPConnectionPool(host='171.228.47.183', port=30569): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E2250>, 'Connection to 171.228.47.183 timed out. (connect timeout=8)')))
185.88.177.197:8080  # ReadTimeout HTTPConnectionPool(host='185.88.177.197', port=8080): Read timed out. (read timeout=8)
